Date,BBDC4.SA,ITUB4.SA,PETR4.SA,VALE3.SA
2008-01-02,9.977742195129395,5.56150484085083,8.669651985168457,21.2984561920166
2008-01-03,9.774625778198242,5.456718921661377,8.530138969421387,21.40880584716797
2008-01-04,9.65976619720459,5.495054721832275,8.11160659790039,20.63632583618164
2008-01-07,9.838635444641113,5.495054721832275,7.873438835144043,20.268476486206055
2008-01-08,9.989291191101074,5.546171188354492,8.305922508239746,20.673114776611328
2008-01-09,9.902661323547363,5.546171188354492,8.46237850189209,20.452402114868164
2008-01-10,10.03636360168457,5.649681091308594,8.380664825439453,20.897499084472656
2008-01-11,9.874420166015625,5.498889923095703,8.127548217773438,20.63632583618164
2008-01-14,9.974221229553223,5.520610809326172,8.111604690551758,20.599544525146484
2008-01-15,9.546777725219727,5.290586948394775,7.754490375518799,19.827064514160156
2008-01-16,9.377318382263184,5.207519054412842,7.46239709854126,18.911113739013672
2008-01-17,8.985651016235352,5.105284690856934,7.087274551391602,18.7786865234375
2008-01-18,9.017655372619629,4.990277290344238,7.1823039054870605,18.977327346801758
2008-01-21,8.699433326721191,4.868870258331299,6.649135112762451,17.001977920532227
2008-01-22,8.699433326721191,4.868870258331299,7.298343658447266,17.509611129760742
2008-01-23,8.50171947479248,4.830534934997559,7.173300743103027,16.55320167541504
2008-01-24,9.15323543548584,5.222859859466553,7.676462173461914,18.43658447265625
2008-01-28,9.245501518249512,5.196021556854248,8.089600563049316,18.484413146972656
2008-01-29,9.038369178771973,5.252246379852295,8.082594871520996,18.789722442626953
2008-01-30,9.036482810974121,5.220300197601318,8.265652656555176,19.271602630615234
2008-01-31,8.799227714538574,5.051610946655273,8.042580604553223,19.06561279296875
2008-02-01,8.7691068649292,4.915088176727295,8.172624588012695,20.194904327392578
2008-02-06,8.532029151916504,4.705445289611816,7.882529258728027,19.536462783813477
2008-02-07,8.388898849487305,4.690112113952637,8.127606391906738,19.275287628173828
2008-02-08,8.326735496520996,4.65942907333374,8.182625770568848,19.67991828918457
2008-02-11,8.6638765335083,4.7706451416015625,8.319671630859375,20.41561508178711
2008-02-12,8.946396827697754,5.063374042510986,8.336673736572266,20.566425323486328
2008-02-13,9.191240310668945,5.322874069213867,8.458714485168457,20.8901424407959
2008-02-14,8.9671049118042,5.123455047607422,8.355681419372559,20.713581085205078
2008-02-15,9.021729469299316,5.202706813812256,8.282659530639648,20.312620162963867
2008-02-18,9.228903770446777,5.36250114440918,8.497727394104004,21.184419631958008
